41725, 1782, 'Sheet Number', '', 1, 'S001', '', 'String', 'Identity Data', '', 'Text'
41833, 1785, 'Sheet Number', '', 1, 'S001', '', 'String', 'Identity Data', '', 'Text'
41839, 1786, 'Sheet Number', '', 1, 'S202', '', 'String', 'Identity Data', '', 'Text'
41909, 1787, 'Sheet Number', '', 1, 'S001', '', 'String', 'Identity Data', '', 'Text'
41979, 1789, 'Sheet Number', '', 1, 'S203', '', 'String', 'Identity Data', '', 'Text'
44801, 2218, 'Coil Bypass', '', 0, '0.00%', '0', 'Double', 'Energy Analysis', 'Percentage', 'Factor'
55129, 2877, 'Phase Filter', '', 0, 'Show All', '375', 'ElementId', 'Phasing', '', 'Invalid'
55130, 2877, 'Title on Sheet', '', 0, '', '', 'String', 'Identity Data', '', 'Text'
55133, 2877, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
55135, 2877, 'View Scale', '', 0, '100', '100', 'Integer', 'Graphics', '', 'Invalid'
55136, 2877, 'Family and Type', '', 1, '', '', 'String', 'Other', '', 'Text'
55137, 2877, 'Scale Value    1:', '', 1, '100', '100', 'Integer', 'Graphics', '', 'Integer'
55138, 2877, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
55139, 2877, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
55143, 2877, 'View Name', '', 0, '???', '', 'String', 'Identity Data', '', 'Text'
55144, 2877, 'Family', '', 1, '', '', 'String', 'Other', '', 'Text'
55145, 2877, 'Phase', '', 0, 'New Construction', '86961', 'ElementId', 'Phasing', '', 'Invalid'
57009, 3481, 'Title on Sheet', '', 0, '', '', 'String', 'Identity Data', '', 'Text'
57011, 3481, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
57013, 3481, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
57019, 3481, 'View Scale', '', 0, '100', '100', 'Integer', 'Graphics', '', 'Invalid'
57022, 3481, 'Phase', '', 0, 'New Construction', '86961', 'ElementId', 'Phasing', '', 'Invalid'
57023, 3481, 'Family', '', 1, '', '', 'String', 'Other', '', 'Text'
57024, 3481, 'Family and Type', '', 1, '', '', 'String', 'Other', '', 'Text'
57025, 3481, 'Scale Value    1:', '', 1, '100', '100', 'Integer', 'Graphics', '', 'Integer'
57027, 3481, 'View Name', '', 0, '???', '', 'String', 'Identity Data', '', 'Text'
57028, 3481, 'Phase Filter', '', 0, '', '-1', 'ElementId', 'Phasing', '', 'Invalid'
57030, 3481, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
59774, 4338, 'Sheet Number', '', 1, 'S101', '', 'String', 'Identity Data', '', 'Text'
61574, 5463, 'Sheet Number', '', 1, 'S101', '', 'String', 'Identity Data', '', 'Text'
61893, 5628, 'View Name', '', 0, 'Structural Column Schedule', '', 'String', 'Identity Data', '', 'Text'
61898, 5628, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
61903, 5628, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
61905, 5628, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
61907, 5628, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
61908, 5628, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
61911, 5628, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
61916, 5628, 'Phase Filter', '', 0, 'Show All', '375', 'ElementId', 'Phasing', '', 'Invalid'
61917, 5628, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
61919, 5628, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
61920, 5628, 'Phase', '', 0, 'New Construction', '86961', 'ElementId', 'Phasing', '', 'Invalid'
62524, 5992, 'Sheet Number', '', 1, 'S203', '', 'String', 'Identity Data', '', 'Text'
62781, 6075, 'Sheet Number', '', 1, 'S204', '', 'String', 'Identity Data', '', 'Text'
62813, 6079, 'Sheet Number', '', 1, 'S204', '', 'String', 'Identity Data', '', 'Text'
63018, 6151, 'Sheet Number', '', 1, 'S202', '', 'String', 'Identity Data', '', 'Text'
63797, 6576, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
63800, 6576, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
63801, 6576, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
63811, 6576, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
63815, 6576, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
63816, 6576, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
63817, 6576, 'View Name', '', 0, 'How Do I', '', 'String', 'Identity Data', '', 'Text'
63818, 6576, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
63819, 6576, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
63899, 6593, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
63900, 6593, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
63905, 6593, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
63906, 6593, 'View Name', '', 0, '<Revision Schedule> 11', '', 'String', 'Identity Data', '', 'Text'
63908, 6593, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
63910, 6593, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
63916, 6593, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
63917, 6593, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
63919, 6593, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64005, 6611, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
64007, 6611, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
64009, 6611, 'View Name', '', 0, '<Revision Schedule>', '', 'String', 'Identity Data', '', 'Text'
64011, 6611, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
64015, 6611, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
64016, 6611, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64018, 6611, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64019, 6611, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64020, 6611, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64087, 6621, 'View Name', '', 0, '<Revision Schedule> 2', '', 'String', 'Identity Data', '', 'Text'
64089, 6621, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
64090, 6621, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64094, 6621, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64101, 6621, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
64102, 6621, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
64103, 6621, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
64106, 6621, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64107, 6621, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64175, 6631, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
64179, 6631, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64180, 6631, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64185, 6631, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
64186, 6631, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
64188, 6631, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
64189, 6631, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64194, 6631, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64195, 6631, 'View Name', '', 0, '<Revision Schedule> 3', '', 'String', 'Identity Data', '', 'Text'
64263, 6641, 'View Name', '', 0, '<Revision Schedule> 4', '', 'String', 'Identity Data', '', 'Text'
64265, 6641, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64268, 6641, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
64270, 6641, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
64274, 6641, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64275, 6641, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
64278, 6641, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
64279, 6641, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64281, 6641, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64351, 6654, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
64357, 6654, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64359, 6654, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
64365, 6654, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64366, 6654, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
